Title;Artist;Year;Duo;Explicit;"Date Added"
#Beautiful;"Mariah Carey";2013;0;0;2013-06-12
#SELFIE;"The Chainsmokers";2014;0;0;2014-04-22
#thatPOWER;will.i.am;2013;0;0;2013-07-30
'39;Queen;1975;0;0;2013-04-01
"'54, '74, '90, 2010";"Sportfreunde Stiller";2006;0;0;2014-07-17
"'74 '75";"The Connells";1993;0;0;2014-06-13
"'Fore She Was Mama";"Clay Walker";2006;0;0;2012-05-14
"'k Heb je lief";"René Froger";2010;0;0;2013-04-11
"'Round Midnight";"Ella Fitzgerald";1961;0;0;2011-06-22
"'Round Midnight";"Amy Winehouse";2003;0;0;2011-11-15
"'S Wonderful";"Gene Kelly";1951;0;0;2011-09-03
"'S Wonderful";"1920s Standards";1927;0;0;2011-05-31
"'S Wonderful";"Diana Krall";2001;0;0;2011-05-30
"'Til I Get Over You";"Michelle Branch";2004;0;0;2011-10-08
"'Til Summer Comes Around";"Keith Urban";2009;0;0;2011-05-30
"'Til The Day I Die";Garbage;2001;0;0;2014-04-28
"'Til Then";"1940s Standards";1944;0;0;2012-02-08
"'Til You Do Me Right";"After 7";1995;0;0;2013-12-06
"'Till There Was You";"Rod Stewart";2003;0;0;2011-10-16
"'Zat You, Santa Claus?";"Louis Armstrong";1952;0;0;2011-11-25
"('Til) I Kissed You";"The Everly Brothers";1959;0;0;2011-10-08
"(After Sweet Memories) Play Born To Lose Again";"Ronnie Milsap";1975;0;0;2013-01-23
"(Another Woman) Too Many People";"Samantha Fox";1987;0;0;2013-11-19
"(Baby I've Got You) On My Mind";Powderfinger;2003;0;0;2013-07-24
"(Baby) Hully Gully";"The Olympics";1959;0;0;2011-10-17
"(Back Home In) Pasadena";"Jazz Standards";2000;0;0;2013-08-10
"(Can't Get My) Head Around You";"The Offspring";2004;0;0;2013-12-07
"(Come Down The Mountain) Katie Daly";"Mike Denver";2010;0;0;2013-10-22
"(Don't Fear) The Reaper";"Blue Öyster Cult";1976;0;0;2011-11-28
"(Drop Dead) Beautiful";"Britney Spears";2011;0;0;2011-06-30
"(Dying Inside) To Hold You";"Timmy Thomas";1991;0;0;2013-07-22
"(Every Time I Turn Around) Back in Love Again";LTD;1977;0;0;2011-06-10
"(Feels Like) Heaven";"Fiction Factory";1983;0;0;2011-05-30
"(Ghost) Riders in the Sky";"Johnny Cash";1979;0;0;2012-02-07
"(Hey Baby) Que Paso";"Texas Tornados";1990;0;0;2011-07-07
"(How Much Is That) Doggie In The Window?";"Patti Page";1960;0;0;2011-05-31
"(I Can't Get No) Satisfaction";"The Rolling Stones";1965;0;0;2011-05-31
"(I Can't Get No) Satisfaction";"Britney Spears";2000;0;0;2011-05-31
"(I Can't Get No) Satisfaction";"Michelle Simonal";2010;0;0;2013-01-28
"(I Just) Died In Your Arms";"Cutting Crew";1986;0;0;2007-05-04
"(I Know) I'm Losing You";"The Temptations";1966;0;0;2012-01-09
"(I Like My) Cowboys Dirty";"Bridgette Tatum";2009;0;0;2013-07-30
"(I Love You) For Sentimental Reasons";"Sam Cooke";1957;0;0;2013-08-18
"(I Love You) For Sentimental Reasons";"Nat King Cole";1946;0;0;2011-07-09
"(I Never Promised You A) Rose Garden";"Martina McBride";2005;0;0;2011-05-31
"(I Want To) Thank You";"Freddie Jackson";1995;0;0;2011-10-31
"(I'd Be) A Legend In My Time";"Ronnie Milsap";1974;0;0;2013-03-04
"(I'm A) Stand By My Woman Man";"Ronnie Milsap";1976;0;0;2011-10-31
"(I'm Not Your) Steppin' Stone";"The Monkees";1966;0;0;2011-07-02
"(I've Got A Gal In) Kalamazoo";"1940s Standards";1942;0;0;2011-07-08
"(I've Got Spurs That) Jingle Jangle Jingle";"Tex Ritter";1948;0;0;2011-05-31
"(I've Had) The Time of My Life";Glee;2010;1;0;2011-05-30
"(I've Had) The Time Of My Life";"Dirty Dancing";1987;1;0;2007-10-19
"(If There Was) Any Other Way";"Céline Dion";1990;0;0;2012-03-15
"(If You Can't Sing It) You'll Have to Swing It";"Ella Fitzgerald";1936;0;0;2011-10-20
"(It's Just) The Way That You Love Me";"Paula Abdul";1988;0;0;2011-05-31
"(It's Only A) Paper Moon";"Natalie Cole";1991;0;0;2011-05-30
"(It's) Hairspray";Hairspray;2002;0;0;2011-05-31
"(Just Like) Starting Over";"John Lennon";1980;0;0;2011-11-25
"(Kissed You) Good Night";Gloriana;2012;1;0;2012-08-13
"(Last Night) I Didn't Get To Sleep At All";"5th Dimension";1972;0;0;2011-05-31
"(Let Me Be Your) Teddy Bear";"Elvis Presley";1957;0;0;2011-05-31
"(Let's Have A) Party";"Elvis Presley";1957;0;0;2011-05-30
"(Let's Start) Tomorrow Tonight";Smash;2013;0;0;2013-05-07
"(Listen to The) Flower People";"Spinal Tap";1984;0;0;2012-01-10
"(Love Is Like A) Heat Wave";"Martha and the Vandellas";1963;0;0;2011-09-12
"(Love Is Like A) Heatwave";"Phil Collins";2010;0;0;2012-06-19
"(Marie's The Name Of) His Latest Flame";"Elvis Presley";1961;0;0;2011-05-31
"(Meet) The Flintstones";"The B-52's";1994;0;0;2011-05-30
"(Now And Then There's) A Fool Such As I";"Elvis Presley";1952;0;0;2011-07-02
"(Out Here) On My Own";"Sagi Rei";2007;0;0;2013-06-12
"(Out Here) On My Own";"Nikka Costa";1981;0;0;2011-05-30
"(Shake, Shake, Shake) Shake Your Booty";"KC & The Sunshine Band";1976;0;0;2011-06-14
"(She's) Sexy + 17";"The Stray Cats";1983;0;0;2014-07-07
"(Sittin' On) The Dock Of The Bay";"Otis Redding";1968;0;0;2012-02-02
"(Sittin' On) The Dock Of The Bay";"Michael Bolton";1988;0;0;2011-05-31
"(Something Inside) So Strong";"Labi Siffre";1987;0;0;2014-03-20
"(Sweet Sweet Baby) Since You've Been Gone";"Aretha Franklin";1968;0;0;2011-05-31
"(Taking My) Life Away";Default;2003;0;0;2012-03-18
"(The Legend Of) Miss Baltimore Crabs";Hairspray;2002;0;0;2011-05-31
"(Theme From) The Monkees";"The Monkees";1966;0;0;2011-10-12
"(There Is) No Greater Love";"Amy Winehouse";2003;0;0;2011-05-30
"(There Is) No Greater Love";"Nat King Cole";1958;0;0;2012-06-15
"(There's Gotta Be) More To Life";"Stacie Orrico";2003;0;0;2011-05-31
"(They Long To Be) Close To You";"The Carpenters";1970;0;0;2007-05-04
"(They Long To Be) Close To You";"Harry Connick Jr.";2009;0;0;2012-02-14
"(Tonight) The Bottle Let Me Down";"The Mavericks";1997;0;0;2013-05-23
"(Turn Out The Lights) The Party's Over";"Mike Denver";2009;0;0;2013-12-11
"(Up A) Lazy River";"Michael Bublé";2001;0;0;2011-05-30
"(Whatever It Is) I'm Against It";"Groucho Marx";1932;0;0;2013-12-07
"(When You Gonna) Give It Up To Me";"Sean Paul";2006;0;0;2013-10-08
"(Where Do I Begin?) Love Story";"Shirley Bassey";1971;0;0;2011-07-07
"(Where Do I Begin?) Love Story";"Andy Williams";1970;0;0;2011-05-30
"(You Drive Me) Crazy";"Britney Spears";1999;0;0;2011-05-30
"(You Drive Me) Crazy";"Richard Cheese";2002;0;1;2011-05-30
"(You Drive Me) Crazy (album version)";"Britney Spears";1999;0;0;2012-03-05
"(You Gotta) Fight For Your Right (To Party!)";"Beastie Boys";1987;0;0;2013-09-17
"(You Make Me Feel Like) A Natural Woman";"Aretha Franklin";1968;0;0;2007-05-04
"(You Make Me Feel Like) A Natural Woman";"Carole King";1971;0;0;2014-04-07
"(You Never Can Tell) C'est la Vie";"Emmylou Harris";1977;0;0;2011-05-30
"(You're Going Out) The Same Way You Came In";"Curtis Magee";2008;0;0;2013-11-28
"(You're My) Soul And Inspiration";"The Righteous Brothers";1966;0;0;2011-07-24
"(You're The) Devil In Disguise";"Elvis Presley";1968;0;0;2007-07-31
"(You're) Timeless To Me";Hairspray;2007;1;0;2013-07-24
"(Your Love Keeps Lifting Me) Higher And Higher";"Rod Stewart";2009;0;0;2011-12-26
"(Your Love Keeps Lifting Me) Higher And Higher";"Jackie Wilson";1967;0;0;2011-11-25
"...Baby One More Time";"Britney Spears";1999;0;0;2007-05-04
"...Baby One More Time";"Bowling for Soup";2005;0;0;2011-05-30
"...Baby One More Time";Glee;2010;0;0;2011-11-25
"1 2 3 4";Feist;2007;0;0;2011-08-26
1+1;Beyoncé;2011;0;0;2012-09-24
"1, 2 Step";Ciara;2004;0;0;2011-05-30
"1, 2, 3 Maria";"Chico & The Gypsies";2013;0;0;2013-08-18
"1, 2, 3, 4";"Plain White T's";2008;0;0;2013-04-22
"1, 2, 3, 4 (Sumpin' New)";Coolio;1996;0;0;2011-10-14
1-2-3;"Ann Tayler";2003;0;0;2013-03-16
1-2-3;"Len Barry";1966;0;0;2011-05-31
1-2-3;"Miami Sound Machine";1988;0;0;2011-05-30
"10 Minutes";Inna;2010;0;0;2011-05-31
"10.000 Nights Of Thunder";Alphabeat;2008;0;0;2011-05-31
10/10;"Paolo Nutini";2009;0;0;2011-05-30
"100 Days, 100 Nights";"Sharon Jones";2006;0;0;2012-08-20
"100 Numbers";"Derek Ryan";2013;0;0;2013-10-17
"100 Years";"Five for Fighting";2004;0;0;2007-05-18
"100% Pure Love";"Crystal Waters";1994;0;0;2013-09-17
"1000 Times";"Sara Bareilles";2013;0;0;2013-11-12
12:51;"The Strokes";2003;0;0;2011-07-09
"13 Tage";"Olaf Henning";2010;1;0;2013-11-28
"15 Minutes";"Rodney Atkins";2009;0;0;2011-05-31
"15 Minutes Of Shame";"Kristy Lee Cook";2008;0;0;2011-05-31
"16 Tons";"Robbie Williams";2013;0;0;2014-01-28
"17 ans (At Seventeen)";"Claude François";1975;0;0;2011-05-31
"18 And Life";"Skid Row";1989;0;0;2012-01-31
"18 Days";"Saving Abel";2008;0;0;2012-05-15
"18 Wheeler";Pink;2001;0;0;2013-01-22
"18 Yellow Roses";"Marty Robbins";1986;0;0;2011-05-31
"19 And Crazy";Bomshel;2010;0;0;2011-05-30
19-2000;Gorillaz;2001;0;0;2013-12-03
"1948 (Toen was geluk heel gewoon)";"Gerard Cox";1994;0;0;2013-05-31
1973;"James Blunt";2007;0;0;2008-03-25
1976;"Alan Jackson";2008;0;0;2011-09-28
1985;"Bowling for Soup";2004;0;0;2011-05-31
1994;"Jason Aldean";2013;0;0;2013-05-08
"2 Hearts";Toto;1992;0;0;2013-08-15
"2 Hearts";"Kylie Minogue";2007;0;0;2007-12-19
"2 Times";"Ann Lee";1999;0;0;2013-01-22
"2-4-6-8 Motorway";"Tom Robinson Band";1977;0;0;2011-05-30
"20 de Enero";"La oreja de Van Gogh";2003;0;0;2013-08-08
20/20;"George Benson";1985;0;0;2012-05-25
"2000 Miles";"The Pretenders";1983;0;0;2012-12-03
"20th Century Boy";"T. Rex";1973;0;0;2011-05-31
"21 Things I Want In A Lover";"Alanis Morissette";2002;0;0;2011-05-31
"21st Century Life";"Sam Sparro";2005;0;0;2011-05-31
22;"Lily Allen";2009;0;0;2011-05-30
22;"Taylor Swift";2012;0;0;2012-12-10
24/7;3T;1996;0;0;2013-12-07
"24000 Baci";"Aylin Prandi";2011;0;0;2011-08-29
"26 Miles (Santa Catalina)";"The Four Preps";1958;0;0;2011-05-31
3;"Britney Spears";2009;0;0;2011-05-30
"3 Libras";"A Perfect Circle";2000;0;0;2013-07-01
"3 nuits par semaine";Indochine;1985;0;0;2011-05-31
"3 petites notes de musique";"Florence Coste";2012;1;0;2012-06-25
"3 Words";"Cheryl Cole";2009;1;0;2011-05-30
"30 Days";"The Saturdays";2012;0;0;2012-05-11
"30 Minute Love Affair";"Paloma Faith";2012;0;0;2012-08-30
"365 Days";"ZZ Ward";2013;0;0;2014-01-26
36grad;2raumwohnung;2007;0;0;2011-05-30
3AM;"Matchbox Twenty";1996;0;0;2012-03-15
"3ème Sexe";Indochine;1985;0;0;2011-05-31
"4 And 20";"Joss Stone";2009;0;0;2013-02-11
"4 Carats";"Kelly Clarkson";2013;0;0;2013-12-23
"4 In The Morning";"Gwen Stefani";2007;0;0;2011-05-31
"4 Real";"Avril Lavigne";2011;0;0;2011-10-20
"40 Days";"Third Day";2002;0;0;2012-05-20
"40 Kinds Of Sadness";"Ryan Cabrera";2005;0;0;2012-01-05
45;Shinedown;2003;0;0;2011-05-31
45;"Stars On 45";1981;0;0;2014-01-16
4ever;"The Veronicas";2005;0;0;2011-05-30
"4th Of July";"Shooter Jennings";2005;0;0;2011-10-31
"5 O'Clock";T-Pain;2011;0;0;2013-07-24
5,6,7,8;Steps;1997;0;0;2011-05-30
5-1-5-0;"Dierks Bentley";2012;0;0;2012-08-08
"50 Ways To Say Goodbye";Train;2012;0;0;2012-07-06
"500 Miles Away From Home";"Bobby Bare";1963;0;0;2012-01-12
"6 Minutes";"Jonas Brothers";2006;0;0;2012-06-06
"6, 8, 12";"Brian McKnight";1999;0;0;2011-05-30
634-5789;"Wilson Pickett";1966;0;0;2014-04-14
634-5789;"Blues Brothers 2000";1998;0;0;2014-04-07
"69 Année érotique";"Serge Gainsbourg";1969;1;0;2013-09-12
"7 Seconds";"Neneh Cherry";1994;1;0;2011-05-31
"7 Sünden";"DJ Ötzi";2008;1;0;2012-12-05
"7 Things";"Miley Cyrus";2008;0;0;2008-08-18
7:05;"Jonas Brothers";2006;0;0;2012-06-01
867-5309/Jenny;"Tommy Tutone";1981;0;0;2011-05-31
"9 To 5";"Sheena Easton";1980;0;0;2011-11-02
"9 To 5";"Dolly Parton";1980;0;0;2007-05-04
"93 Million Miles";"Jason Mraz";2012;0;0;2012-07-07
"96 Tears";"Question Mark And The Mysterians";1966;0;0;2012-08-23
98.6;Keith;1966;0;0;2011-05-31
99;Toto;1979;0;0;2011-12-26
"99 Luftballons";Nena;1984;0;0;2011-05-30
"99 Miles From L.A.";"Art Garfunkel";1975;0;0;2012-03-05
"99 Problems";Hugo;2010;0;0;2012-02-07
"99 Red Balloons";Nena;1984;0;0;2011-05-31
"99 Times";"Kate Voegele";2009;0;0;2011-05-30
"9th Wonder (Blackitolism)";"Digable Planets";1994;0;1;2013-11-29
"9th Wonder (Blackitolism) (Clean)";"Digable Planets";1994;0;0;2013-11-20
"A Baby Changes Everything";"Faith Hill";2008;0;0;2011-12-19
"A Beautiful Mess";"Jason Mraz";2008;0;0;2011-05-31
"A Beautiful Morning";"The Rascals";1968;0;0;2011-06-28
"A bicyclette";Bourvil;1947;0;0;2012-01-18
"A Bottle Of Wine And Patsy Cline";"Marsha Thornton";1990;0;0;2014-06-23
"A Boy Like Me";"Jessica Harp";2009;0;0;2011-05-31
"A Broken Wing";"Martina McBride";1997;0;0;2011-05-31
"A Call From The Vatican";Nine;2009;0;0;2011-07-26
"A cause des garçons";Yelle;2007;0;0;2012-05-10
"A cause des garçons";"A cause des garçons";1987;0;0;2012-04-27
